team,n_games,actual_wins,expected_wins,actual_wr,expected_wr,diff,in_tournament,adj_net
Abilene Christian,30,13,13.9,0.433,0.463,-0.03,False,-10.0
Air Force,32,11,10.8,0.344,0.338,0.006,False,-25.2
Akron,32,22,20.2,0.688,0.63,0.058,True,15.2
Alabama,32,21,18.9,0.656,0.591,0.065,True,30.4
Alabama A&M,30,12,14.2,0.4,0.473,-0.073,False,-14.6
Alabama State,31,18,13.9,0.581,0.449,0.132,False,-13.9
Alcorn State,31,7,11.1,0.226,0.359,-0.133,False,-22.2
American University,30,15,14.8,0.5,0.495,0.005,False,-7.1
App State,30,18,15.6,0.6,0.522,0.078,False,-2.8
Arizona,34,23,22.4,0.676,0.659,0.017,True,37.5
Arizona State,33,17,15.3,0.515,0.463,0.052,False,11.1
Arkansas,34,21,20.0,0.618,0.587,0.031,True,32.8
Arkansas State,30,18,16.6,0.6,0.555,0.045,False,3.6
Arkansas-Pine Bluff,30,13,12.0,0.433,0.401,0.032,False,-13.8
Army,30,13,12.6,0.433,0.421,0.012,False,-15.0
Auburn,33,17,18.4,0.515,0.557,-0.042,False,24.5
Austin Peay,29,17,15.7,0.586,0.54,0.046,False,3.4
BYU,34,15,21.0,0.441,0.617,-0.176,True,22.6
Ball State,28,19,12.3,0.679,0.439,0.24,False,-10.9
Baylor,31,14,17.1,0.452,0.55,-0.098,False,21.0
Bellarmine,30,11,12.8,0.367,0.425,-0.058,False,-5.4
Belmont,31,21,17.7,0.677,0.571,0.106,False,8.5
Bethune-Cookman,30,13,14.3,0.433,0.477,-0.044,False,-7.8
Binghamton,28,10,11.3,0.357,0.402,-0.045,False,-23.0
Boise State,30,18,16.9,0.6,0.564,0.036,False,10.8
Boston College,30,16,13.9,0.533,0.465,0.068,False,1.7
Boston University,33,17,16.5,0.515,0.499,0.016,False,-5.4
Bowling Green,29,15,15.7,0.517,0.541,-0.024,False,1.7
Bradley,32,13,17.6,0.406,0.549,-0.143,False,3.9
Brown,25,11,11.3,0.44,0.454,-0.014,False,-10.1
Bryant,29,5,12.4,0.172,0.428,-0.256,False,-20.0
Bucknell,33,18,14.5,0.545,0.439,0.106,False,-16.5
Buffalo,29,11,14.0,0.379,0.482,-0.103,False,-4.5
Butler,32,20,16.9,0.625,0.528,0.097,False,8.5
Cal Poly,31,15,13.4,0.484,0.432,0.052,False,-6.5
Cal State Bakersfield,30,11,12.1,0.367,0.403,-0.036,False,-15.2
Cal State Fullerton,31,10,14.1,0.323,0.454,-0.131,False,-2.1
Cal State Northridge,32,15,15.9,0.469,0.498,-0.029,False,-2.6
California,31,20,16.5,0.645,0.531,0.114,False,12.1
California Baptist,33,18,18.1,0.545,0.549,-0.004,True,0.3
Campbell,32,19,14.8,0.594,0.461,0.133,False,-0.1
Canisius,30,18,11.7,0.6,0.389,0.211,False,-19.3
Central Arkansas,32,21,15.4,0.656,0.481,0.175,False,3.1
Central Connecticut,28,20,14.2,0.714,0.506,0.208,False,-11.8
Central Michigan,28,12,11.4,0.429,0.406,0.023,False,-9.1
Charleston,31,13,16.4,0.419,0.529,-0.11,False,0.1
