team,games,race_win_pct,avg_t10_secs,scored_first_pct,avg_max_lead_early,blitz_rate,wr_Fav_10p,n_Fav_10p,wr_Fav_5_10,n_Fav_5_10,wr_Close,n_Close,wr_Dog_5_10,n_Dog_5_10,wr_Dog_10p,n_Dog_10p,adj_net,adj_ortg,adj_drtg,tempo,in_tournament
Abilene Christian,33,0.485,402.091,0.515,2.667,0.152,,,0.667,3.0,0.421,19.0,0.25,4.0,0.5,4.0,-10.0,101.0,111.0,69.2,False
Adams State,1,0.0,486.0,1.0,3.0,0.0,,,,,,,,,,,-6.4,105.4,111.8,89.2,False
Adrian,1,0.0,549.0,0.0,0.0,0.0,,,,,,,,,,,,,,,False
Air Force,32,0.344,491.656,0.406,2.438,0.062,,,,,0.5,6.0,0.5,6.0,0.25,20.0,-25.2,93.3,118.5,67.4,False
Akron,34,0.706,272.559,0.647,3.618,0.206,0.684,19.0,0.667,6.0,0.667,6.0,,,1.0,1.0,15.2,121.8,106.7,71.9,True
Alabama,32,0.656,276.094,0.562,3.438,0.188,0.917,12.0,0.714,7.0,0.455,11.0,0.0,2.0,,,30.4,130.5,100.1,75.1,True
Alabama A&M,33,0.455,398.121,0.515,2.818,0.182,0.5,2.0,0.5,2.0,0.526,19.0,0.0,3.0,0.0,4.0,-14.6,102.3,117.0,67.7,False
Alabama State,32,0.594,364.469,0.469,3.031,0.156,0.5,2.0,0.667,3.0,0.786,14.0,0.5,4.0,0.25,8.0,-13.9,101.1,114.9,71.7,False
Alaska Anchorage,1,0.0,362.0,0.0,0.0,0.0,,,,,,,,,,,,,,,False
Alcorn State,31,0.226,420.871,0.323,2.323,0.065,,,1.0,2.0,0.143,7.0,0.273,11.0,0.091,11.0,-22.2,96.8,118.9,69.0,False
Alfred State,1,0.0,336.0,0.0,2.0,0.0,,,,,,,,,,,-6.4,105.4,111.8,84.4,False
Alice Lloyd College,1,1.0,235.0,1.0,3.0,0.0,,,,,,,,,,,,,,,False
Allegheny,1,0.0,751.0,0.0,0.0,0.0,,,,,,,,,,,,,,,False
American University,32,0.531,348.781,0.5,3.125,0.25,0.0,1.0,0.571,7.0,0.533,15.0,1.0,2.0,0.2,5.0,-7.1,107.0,114.2,67.7,False
Angelo State,1,0.0,460.0,0.0,0.0,0.0,,,,,,,,,,,-6.4,105.4,111.8,73.3,False
App State,32,0.625,370.219,0.594,3.938,0.281,1.0,2.0,0.286,7.0,0.647,17.0,0.667,3.0,1.0,1.0,-2.8,107.1,110.0,64.6,False
Apprentice School,1,0.0,405.0,0.0,0.0,0.0,,,,,,,,,,,,,,,False
Aquinas,1,0.0,363.0,0.0,0.0,0.0,,,,,,,,,,,,,,,False
Arcadia,1,0.0,253.0,0.0,0.0,0.0,,,,,,,,,,,,,,,False
Arizona,34,0.676,289.765,0.676,3.676,0.235,0.737,19.0,1.0,6.0,0.25,8.0,1.0,1.0,,,37.5,128.7,91.2,71.3,True
Arizona State,33,0.515,383.667,0.394,2.485,0.121,0.6,5.0,0.5,2.0,0.7,10.0,0.333,9.0,0.429,7.0,11.1,114.8,103.7,70.5,False
Arkansas,34,0.618,294.235,0.5,2.912,0.176,0.8,10.0,0.5,8.0,0.615,13.0,0.0,2.0,1.0,1.0,32.8,131.2,98.4,72.6,True
Arkansas Baptist,3,0.0,367.667,0.333,1.667,0.0,,,,,,,,,,,,,,,False
Arkansas State,32,0.594,336.875,0.625,3.406,0.188,1.0,5.0,0.375,8.0,0.667,15.0,,,0.0,2.0,3.6,112.9,109.3,72.7,False
Arkansas Tech,1,0.0,531.0,0.0,3.0,0.0,,,,,,,,,,,-6.4,105.4,111.8,74.6,False
Arkansas-Pine Bluff,32,0.438,356.625,0.375,2.906,0.094,1.0,2.0,1.0,2.0,0.417,12.0,0.333,3.0,0.273,11.0,-13.8,103.7,117.5,72.4,False
Arlington Baptist,3,0.0,526.0,0.333,1.0,0.0,,,,,,,,,,,,,,,False
Army,32,0.438,366.188,0.562,2.625,0.125,1.0,1.0,,,0.4,15.0,0.429,7.0,0.429,7.0,-15.0,102.9,117.9,67.5,False
Auburn,33,0.515,337.03,0.394,2.606,0.061,0.889,9.0,0.0,5.0,0.6,10.0,0.286,7.0,0.5,2.0,24.5,126.0,101.6,69.8,False
