Player	Date	Team	Loc	Opp	result	GM	GS	MP	PTS	FGM	FGA	FG%	2PM	2PA	2P%	3PM	3PA	3P%	FTM	FTA	FT%	ORB	DRB	TRB	AST	TOV	STL	BLK	PF	ESPN	FanDuel	DraftKings
Breanna Stewart	2026-05-08	NYL		CON	W 106-75	REG	1	28:21	31	10	17	58.8	10	13	76.9	0	4	0.0	11	12	91.7	1	9	10	2	4	1	3	3	51	54.0	54.00
Kahleah Copper	2026-05-12	PHX		MIN	L 84-88	REG	1	34:40	30	9	21	42.9	7	14	50.0	2	7	28.6	10	13	76.9	1	0	1	2	3	2	0	2	39	37.2	37.75
Kelsey Mitchell	2026-05-09	IND		DAL	L 104-107	REG	1	33:07	30	11	22	50.0	9	13	69.2	2	9	22.2	6	7	85.7	3	0	3	4	2	0	0	4	39	37.6	39.75
Chennedy Carter	2026-05-13	LVA	@	CON	W 98-69	REG	0	25:08	27	13	16	81.3	12	14	85.7	1	2	50.0	0	0		3	5	8	4	4	2	0	3	44	44.6	45.50
Marina Mabrey	2026-05-08	TOR		WAS	L 65-68	REG	1	29:57	27	6	18	33.3	3	9	33.3	3	9	33.3	12	14	85.7	0	7	7	2	4	1	0	3	41	37.4	40.25
Kelsey Plum	2026-05-10	LAS		LVA	L 78-105	REG	1	34:49	27	10	18	55.6	6	10	60.0	4	8	50.0	3	4	75.0	1	3	4	2	3	0	0	3	37	31.8	35.50
Bridget Carleton	2026-05-12	PDX		NYL	W 98-96	REG	1	33:02	26	9	16	56.3	4	5	80.0	5	11	45.5	3	3	100.0	0	1	1	0	0	4	0	2	40	39.2	37.75
Sonia Citron	2026-05-08	WAS	@	TOR	W 68-65	REG	1	34:17	26	9	12	75.0	6	6	100.0	3	6	50.0	5	8	62.5	0	2	2	0	2	2	2	2	39	38.4	37.00
Allisha Gray	2026-05-12	ATL	@	DAL	W 77-72	REG	1	33:48	26	9	20	45.0	5	11	45.5	4	9	44.4	4	4	100.0	0	4	4	0	0	0	1	2	36	33.8	35.00
Marina Mabrey	2026-05-13	TOR		SEA	W 86-73	REG	1	28:48	26	9	20	45.0	3	9	33.3	6	11	54.5	2	2	100.0	0	4	4	3	1	4	0	0	47	46.3	46.00
Marine Johannes	2026-05-10	NYL	@	WAS	W 98-93 OT	REG	1	37:23	25	8	15	53.3	2	2	100.0	6	13	46.2	3	5	60.0	1	0	1	2	3	2	0	3	38	32.2	34.75
Kelsey Plum	2026-05-13	LAS		IND	L 78-87	REG	1	36:44	25	9	16	56.3	8	11	72.7	1	5	20.0	6	8	75.0	0	1	1	4	5	1	0	3	33	30.2	32.25
Pauline Astier	2026-05-12	NYL	@	PDX	L 96-98	REG	1	29:37	24	10	14	71.4	8	11	72.7	2	3	66.7	2	3	66.7	3	2	5	3	5	2	0	3	38	35.5	37.25
Caitlin Clark	2026-05-13	IND	@	LAS	W 87-78	REG	1	31:06	24	9	17	52.9	8	10	80.0	1	7	14.3	5	5	100.0	0	4	4	9	6	2	1	2	44	45.3	46.00
Allisha Gray	2026-05-09	ATL	@	MIN	W 91-90	REG	1	32:31	24	7	18	38.9	6	10	60.0	1	8	12.5	9	11	81.8	2	6	8	3	4	2	1	2	42	43.1	43.00
Aliyah Boston	2026-05-09	IND		DAL	L 104-107	REG	1	26:09	23	9	14	64.3	8	12	66.7	1	2	50.0	4	6	66.7	2	2	4	3	1	3	1	2	39	43.3	40.50
Kelsey Mitchell	2026-05-13	IND	@	LAS	W 87-78	REG	1	27:23	23	9	17	52.9	6	8	75.0	3	9	33.3	2	2	100.0	0	0	0	0	2	1	0	3	28	24.0	25.50
Breanna Stewart	2026-05-10	NYL	@	WAS	W 98-93 OT	REG	1	38:40	23	9	23	39.1	8	19	42.1	1	4	25.0	4	4	100.0	1	8	9	4	4	2	2	5	45	47.8	46.75
Kamilla Cardoso	2026-05-09	CHI	@	PDX	W 98-83	REG	1	24:40	22	8	15	53.3	8	15	53.3	0	0		6	8	75.0	8	6	14	1	2	0	1	3	39	41.3	43.50
Chennedy Carter	2026-05-10	LVA	@	LAS	W 105-78	REG	0	19:30	22	9	13	69.2	8	10	80.0	1	3	33.3	3	5	60.0	1	0	1	0	2	2	0	3	28	27.2	26.75
Arike Ogunbowale	2026-05-09	DAL	@	IND	W 107-104	REG	1	28:33	22	8	15	53.3	5	8	62.5	3	7	42.9	3	3	100.0	0	1	1	5	3	0	0	5	31	27.7	30.75
Breanna Stewart	2026-05-14	NYL	@	PDX	W 100-82	REG	1	28:28	22	8	14	57.1	7	10	70.0	1	4	25.0	5	6	83.3	1	6	7	1	2	0	0	3	31	29.9	31.75
A'ja Wilson	2026-05-13	LVA	@	CON	W 98-69	REG	1	20:39	22	8	15	53.3	8	15	53.3	0	0		6	9	66.7	4	7	11	1	1	0	2	4	38	41.7	42.25
Skylar Diggins	2026-05-09	CHI	@	PDX	W 98-83	REG	1	32:47	21	8	12	66.7	6	9	66.7	2	3	66.7	3	5	60.0	2	9	11	7	2	1	2	2	47	51.7	52.75
Caitlin Clark	2026-05-09	IND		DAL	L 104-107	REG	1	30:48	20	7	18	38.9	5	9	55.6	2	9	22.2	4	4	100.0	0	5	5	7	5	0	0	4	34	31.5	35.25
Paige Bueckers	2026-05-09	DAL	@	IND	W 107-104	REG	1	32:28	20	8	10	80.0	7	7	100.0	1	3	33.3	3	6	50.0	0	3	3	4	1	1	0	2	30	31.6	31.75
Arike Ogunbowale	2026-05-12	DAL		ATL	L 72-77	REG	1	35:34	20	7	15	46.7	7	11	63.6	0	4	0.0	6	7	85.7	0	4	4	1	2	1	0	2	27	27.3	27.50
A'ja Wilson	2026-05-09	LVA		PHX	L 66-99	REG	1	23:36	19	8	15	53.3	6	12	50.0	2	3	66.7	1	2	50.0	1	3	4	4	2	2	2	0	37	39.8	38.00
A'ja Wilson	2026-05-10	LVA	@	LAS	W 105-78	REG	1	30:01	19	7	14	50.0	7	12	58.3	0	2	0.0	5	6	83.3	0	4	4	3	3	1	2	1	32	34.3	33.00
Rickea Jackson	2026-05-09	CHI	@	PDX	W 98-83	REG	1	35:44	19	5	14	35.7	4	10	40.0	1	4	25.0	8	10	80.0	1	6	7	3	3	0	1	4	32	31.9	33.25
Rickea Jackson	2026-05-13	CHI	@	GSV	W 69-63	REG	1	38:36	18	6	18	33.3	5	13	38.5	1	5	20.0	5	6	83.3	2	3	5	5	1	1	2	3	35	39.5	37.75
Caitlin Clark	2026-05-09	IND		DAL	L 104-107	REG	1	30:48	20	7	18	38.9	5	9	55.6	2	9	22.2	4	4	100.0	0	5	5	7	5	0	0	4	34	31.5	35.25
Sonia Citron	2026-05-10	WAS		NYL	L 93-98 OT	REG	1	35:56	17	4	12	33.3	4	6	66.7	0	6	0.0	9	10	90.0	3	2	5	2	2	2	0	2	28	30.0	29.25
Marine Johannes	2026-05-08	NYL		CON	W 106-75	REG	1	28:00	17	6	13	46.2	1	4	25.0	5	9	55.6	0	0		2	3	5	3	1	3	0	2	36	35.5	35.75
Jonquel Jones	2026-05-12	NYL	@	PDX	L 96-98	REG	1	34:28	17	6	11	54.5	3	5	60.0	3	6	50.0	2	2	100.0	1	6	7	3	4	1	0	3	32	28.9	31.75
Jonquel Jones	2026-05-10	NYL	@	WAS	W 98-93 OT	REG	1	24:12	13	3	8	37.5	2	6	33.3	1	2	50.0	6	7	85.7	2	6	8	2	3	0	1	6	26	25.6	27.00
Jonquel Jones	2026-05-08	NYL		CON	W 106-75	REG	1	24:58	10	3	7	42.9	2	2	100.0	1	5	20.0	3	4	75.0	0	5	5	1	2	2	1	5	23	24.5	23.25
Jonquel Jones	2026-05-14	NYL	@	PDX	W 100-82	REG	1	26:22	6	2	4	50.0	2	4	50.0	0	0		2	2	100.0	1	8	9	3	2	1	0	1	20	22.3	22.75
Breanna Stewart	2026-05-12	NYL	@	PDX	L 96-98	REG	1	37:47	16	4	12	33.3	4	10	40.0	0	2	0.0	8	8	100.0	1	9	10	4	2	2	3	5	40	47.0	45.00
