game_id,season,game_date,matchup,home_team_id,away_team_id,home_pts,away_pts,margin,pace,h_efg,h_tov,h_oreb,h_ftr,h_fga,h_fgm,h_tpa,h_tpm,h_fta,h_ftm,h_oreb_n,h_dreb_n,h_tov_n,a_efg,a_tov,a_oreb,a_ftr,a_fga,a_fgm,a_tpa,a_tpm,a_fta,a_ftm,a_oreb_n,a_dreb_n,a_tov_n
1021700001,2017,2017-05-13,NYL vs. SAN,1611661313,1611661319,73.0,64.0,9.0,67.4,0.434,0.152,0.541,0.426,61,26,7,1,26,0,20,16,13,0.392,0.152,0.5,0.467,60,23,5,1,28,0,16,17,13
1021700002,2017,2017-05-13,LAS vs. SEA,1611661320,1611661328,78.0,68.0,10.0,77.4,0.514,0.127,0.16,0.111,72,33,18,8,8,0,4,18,11,0.56,0.294,0.25,0.24,50,26,16,4,12,0,6,21,23
1021700003,2017,2017-05-13,CON vs. ATL,1611661323,1611661330,74.0,81.0,-7.0,82.1,0.412,0.171,0.333,0.257,74,27,21,7,19,0,11,33,17,0.418,0.092,0.25,0.403,67,26,21,4,27,0,11,22,8
1021700004,2017,2017-05-14,WAS vs. SAN,1611661322,1611661319,68.0,55.0,13.0,74.3,0.492,0.154,0.536,0.492,63,28,19,6,31,0,15,23,14,0.467,0.181,0.303,0.3,60,24,19,8,18,0,10,13,15
1021700005,2017,2017-05-14,PHO vs. DAL,1611661317,1611661321,58.0,68.0,-10.0,74.5,0.463,0.188,0.0,0.278,54,23,19,4,15,0,0,17,14,0.425,0.199,0.393,0.317,60,25,10,1,19,0,11,30,17
1021700006,2017,2017-05-14,SEA vs. IND,1611661328,1611661325,87.0,82.0,5.0,78.2,0.525,0.218,0.469,0.45,60,29,13,5,27,0,15,19,20,0.507,0.148,0.296,0.221,68,30,17,9,15,0,8,17,13
1021700007,2017,2017-05-14,MIN vs. CHI,1611661324,1611661329,70.0,61.0,9.0,85.7,0.39,0.157,0.2,0.233,73,27,20,3,17,0,7,32,15,0.36,0.233,0.333,0.265,68,24,7,1,18,0,16,28,23
1021700008,2017,2017-05-17,PHO vs. IND,1611661317,1611661325,85.0,62.0,23.0,77.8,0.54,0.18,0.389,0.365,63,32,17,4,23,0,14,22,16,0.36,0.137,0.241,0.25,68,24,15,1,17,0,7,22,12
1021700009,2017,2017-05-18,NYL vs. MIN,1611661313,1611661324,71.0,90.0,-19.0,78.0,0.397,0.125,0.325,0.309,68,24,16,6,21,0,13,20,11,0.521,0.121,0.333,0.314,70,32,21,9,22,0,10,27,11
1021700010,2017,2017-05-19,SAN vs. PHO,1611661319,1611661317,72.0,78.0,-6.0,81.3,0.38,0.163,0.373,0.352,71,26,11,2,25,0,19,22,16,0.397,0.124,0.185,0.524,63,22,16,6,33,0,5,32,11
