season,game_id,team,team_id,FGA,FTA,TOV,OREB,PTS,poss,pace,ortg,ot_periods,game_minutes
2025_full,1022500002,DAL,1611661321,66,24,14,8,84,84.0,84.0,100.0,0,40
2025_full,1022500002,MIN,1611661324,66,28,13,6,99,85.0,85.0,116.47,0,40
2025_full,1022500001,WAS,1611661322,61,31,7,5,94,76.0,76.0,123.68,0,40
2025_full,1022500001,ATL,1611661330,74,27,14,15,90,76.0,76.0,118.42,0,40
2025_full,1022500003,GSV,1611661331,63,13,20,9,67,79.0,79.0,84.81,0,40
2025_full,1022500003,LAS,1611661320,63,21,11,3,84,79.0,79.0,106.33,0,40
2025_full,1022500005,NYL,1611661313,72,21,6,6,92,79.0,79.0,116.46,0,40
2025_full,1022500005,LVA,1611661319,82,13,10,12,78,79.0,79.0,98.73,0,40
2025_full,1022500006,PHX,1611661317,58,21,14,4,59,72.0,72.0,81.94,0,40
2025_full,1022500006,SEA,1611661328,63,20,12,6,42,73.0,73.0,57.53,0,40
2025_full,1022500004,IND,1611661325,75,25,10,9,93,83.0,83.0,112.05,0,40
2025_full,1022500004,CHI,1611661329,79,12,17,12,58,83.0,83.0,69.88,0,40
2025_full,1022500008,LAS,1611661320,60,24,11,8,70,68.0,68.0,102.94,0,40
2025_full,1022500008,MIN,1611661324,71,13,8,7,82,70.0,70.0,117.14,0,40
2025_full,1022500007,CON,1611661323,66,29,12,11,85,79.0,79.0,107.59,0,40
2025_full,1022500007,WAS,1611661322,62,29,14,6,90,80.0,80.0,112.5,0,40
2025_full,1022500009,DAL,1611661321,73,19,14,12,71,77.0,77.0,92.21,0,40
2025_full,1022500009,SEA,1611661328,70,19,11,7,79,77.0,77.0,102.6,0,40
2025_full,1022500010,CON,1611661323,64,17,16,7,35,77.0,77.0,45.45,0,40
2025_full,1022500010,LVA,1611661319,67,30,11,12,65,78.0,78.0,83.33,0,40
2025_full,1022500011,IND,1611661325,68,26,14,8,90,80.0,80.0,112.5,0,40
2025_full,1022500011,ATL,1611661330,68,32,11,12,91,80.0,80.0,113.75,0,40
2025_full,1022500014,PHX,1611661317,67,27,12,6,89,83.0,83.0,107.23,0,40
2025_full,1022500014,LAS,1611661320,68,26,16,7,86,82.0,82.0,104.88,0,40
2025_full,1022500012,MIN,1611661324,59,27,17,12,85,77.0,77.0,110.39,0,40
2025_full,1022500012,DAL,1611661321,71,14,11,9,81,79.0,79.0,102.53,0,40
2025_full,1022500013,GSV,1611661331,72,28,11,11,61,82.0,82.0,74.39,0,40
2025_full,1022500013,WAS,1611661322,66,23,17,7,60,81.0,81.0,74.07,0,40
2025_full,1022500016,CHI,1611661329,69,25,23,14,74,84.0,84.0,88.1,0,40
2025_full,1022500016,NYL,1611661313,58,17,19,3,99,81.0,81.0,122.22,0,40
2025_full,1022500015,ATL,1611661330,67,23,12,6,76,84.0,84.0,90.48,0,40
2025_full,1022500015,IND,1611661325,74,15,13,7,81,83.0,83.0,97.59,0,40
2025_full,1022500018,LVA,1611661319,69,20,8,7,72,75.0,75.0,96.0,0,40
2025_full,1022500018,WAS,1611661322,60,17,15,6,72,75.0,75.0,96.0,0,40
2025_full,1022500019,LAS,1611661320,62,22,17,7,73,79.0,79.0,92.41,0,40
